iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
0,1000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,20.41946506500244,n/a,n/a,7.5126707553863525,,,,,,,,,,,,,,,,,,
1,2000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.234644354102144,0.9123055589389041,-1831.6454261080678,9.962062426078396e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000,20.675395965576172,n/a,n/a,33.356860399246216,,,,,,,,,,,,,,,,,,
2,3000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.281158100128174,0.3737522619664669,-2005.212884765625,9.846458038737183e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3000,20.906009674072266,n/a,n/a,62.341288328170776,,,,,,,,,,,,,,,,,,
3,4000.0,2.0,1152.8734914736374,1768.5,0.5,0.0,0.0,0.5,23.0,916.3110453802186,156.4166166579659,n/a,30.71832127093428,-10.421028151133346,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.8937928830014,294.4814734709347,598.7587238795123,-13.460739787921076,0.0,n/a,0.0,0.0,-26.7047648762875,0.0,371.5,4.5,n/a,10.377425853198858,15.273433525812889,862.5873959862834,54.14771535478634,72.1712960666779,0.0,0.0,0.0,-0.04148448258638382,0.85964435338974,-0.911301851272583,0.42679503513500094,0.8072831332683563,0.414640873670578,0.3811904788017273,0.7155487388372421,0.6864993380137596,n/a,n/a,n/a,n/a,n/a,n/a,30.86819997024536,0.49405322137475016,-2220.971610839844,9.689525380963459e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4000,21.06576156616211,n/a,n/a,59.878931283950806,-3.502696385561643,0.0,67.04134078795002,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,115.87002651274055,-16.958458130531245,0.0,-8.842499999999983,0.0,0.0
4,5000.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,15.791894540309906,0.40708166429400444,-2147.8926604003905,9.537483216263354e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5000,21.225666046142578,n/a,n/a,55.396770000457764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,6000.0,3.0,1614.173828118532,1039.0,1.0,0.0,0.0,0.0,30.0,353.3106854902886,54.369120924339775,n/a,60.57654646873235,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.78065875918847,439.0271892001639,519.5,9.49940934683062,0.0,n/a,0.0,0.0,5.007856214663021,0.0,0.0,0.0,n/a,1.2695347106939732,3.5454104898715753,296.4539054349173,0.8323999413663238,9.516399941366322,0.0,0.0,0.0,-0.16546152532100677,0.8783227205276489,-0.30144935846328735,0.7905935645103455,0.7854310870170593,0.36883974075317383,0.9179604649543762,0.5880706906318665,0.6429258902791145,n/a,n/a,n/a,n/a,n/a,n/a,8.138568654060364,0.34327141955494883,-2051.168461181641,9.398176989634522e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6000,21.52646255493164,n/a,n/a,59.277907609939575,3.4192316758118673,0.0,144.7261386472021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.83179780593994,0.0,0.0,-5.1949999999999115,100.0,0.0
6,7000.0,4.0,2149.4207998951156,1517.0,1.0,0.0,0.0,0.0,48.0,326.91194345808805,39.14116188717085,n/a,60.85319378506443,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.16931379177203,587.7086508387879,757.7481450147566,1.9147466789291845,0.0,n/a,0.0,0.0,5.098324497736378,0.0,0.0,3.0,n/a,19.413839384182182,17.17775499527425,495.94928295275594,1.558028302357415,26.799971697642594,0.0,0.0,0.0,-0.21070408821105957,0.7428643703460693,-0.8317937254905701,0.6569394469261169,0.7978108525276184,0.5689160227775574,0.5251989364624023,0.7337749600410461,0.6573829927488464,n/a,n/a,n/a,n/a,n/a,n/a,8.728635704994202,0.3608742672801018,-2065.441384033203,9.260863094823434e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7000,21.686290740966797,n/a,n/a,57.462146520614624,2.2035041799016133,0.0,176.8852088239234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.42471228424694,0.0,0.0,-7.5849999999998605,100.0,0.0
7,8000.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,7.6574443126916885,0.33799512884020805,-2110.07042578125,9.12338689158787e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8000,21.846004486083984,n/a,n/a,58.670767068862915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,9000.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,9.408250719308853,0.28993619200587273,-2117.0324846191406,8.986858309071977e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9000,22.006450653076172,n/a,n/a,65.53439211845398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,10000.0,5.0,2738.4765247774003,1944.0,1.0,0.0,0.0,0.0,61.0,297.88262862806,26.967438581591285,n/a,65.23141285862677,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.03184243777204,784.7676656052753,972.0,12.114564738523283,0.0,n/a,0.0,0.0,-0.27356068570780334,0.0,0.0,3.0,n/a,36.76828258880866,44.568980165315004,292.21482966573456,0.9208265907583356,20.20817340924164,0.0,0.0,0.0,-0.14233268797397614,0.903558075428009,-0.7108880877494812,0.8368308544158936,0.7818705439567566,0.2765287756919861,0.6926999688148499,0.5326589345932007,0.6692386831275721,n/a,n/a,n/a,n/a,n/a,n/a,11.961351924657821,0.3030851900279522,-2240.747116455078,8.849292898958083e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10000,22.166202545166016,n/a,n/a,71.69718837738037,4.33192016236841,0.0,188.05388370770842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.9387959528301,0.0,0.0,-9.72000000000012,100.0,0.0
