[08-22 04:01:34] [B] B-series start: min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 04:01:34] [B] B1_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 04:47:37] [B] B1_bridge iter=29 score=0.917 success=1.000 dwell=0.963 survival=0.850 plateau=1
[08-22 04:51:37] [B] B1_bridge iter=32 score=0.903 success=1.000 dwell=0.963 survival=0.850 plateau=4
[08-22 04:53:37] [B] B1_bridge iter=33 score=0.903 success=1.000 dwell=0.963 survival=0.850 plateau=5
[08-22 04:57:38] [B] B1_bridge iter=36 score=0.918 success=1.000 dwell=0.963 survival=0.900 plateau=8
[08-22 05:01:38] [B] B1_bridge iter=40 score=0.917 success=1.000 dwell=0.963 survival=0.900 plateau=12
[08-22 05:05:38] [B] B1_bridge iter=42 score=0.909 success=1.000 dwell=1.000 survival=0.900 plateau=14
[08-22 05:07:38] [B] B1_bridge iter=44 score=0.908 success=1.000 dwell=1.000 survival=0.900 plateau=16
[08-22 05:09:38] [B] B1_bridge iter=46 score=0.909 success=1.000 dwell=1.000 survival=0.900 plateau=18
[08-22 05:11:38] [B] B1_bridge iter=48 score=0.910 success=1.000 dwell=1.000 survival=0.900 plateau=20
[08-22 05:13:38] [B] B1_bridge iter=49 score=0.890 success=1.000 dwell=1.000 survival=0.800 plateau=21
[08-22 05:15:38] [B] B1_bridge iter=50 score=0.890 success=1.000 dwell=1.000 survival=0.800 plateau=22
[08-22 05:17:38] [B] B1_bridge iter=52 score=0.880 success=1.000 dwell=1.000 survival=0.700 plateau=24
[08-22 05:19:39] [B] B1_bridge iter=53 score=0.880 success=1.000 dwell=1.000 survival=0.700 plateau=25
[08-22 05:23:39] [B] B1_bridge iter=57 score=0.881 success=1.000 dwell=1.000 survival=0.700 plateau=29
[08-22 05:25:39] [B] B1_bridge iter=58 score=0.916 success=1.000 dwell=1.000 survival=0.800 plateau=30
[08-22 05:29:39] [B] B1_bridge iter=62 score=0.916 success=1.000 dwell=1.000 survival=0.800 plateau=34
[08-22 05:33:39] [B] B1_bridge iter=64 score=0.915 success=1.000 dwell=1.000 survival=0.800 plateau=36
[08-22 05:35:39] [B] B1_bridge iter=66 score=0.936 success=1.000 dwell=1.000 survival=0.900 plateau=0
[08-22 05:37:39] [B] B1_bridge iter=68 score=0.936 success=1.000 dwell=1.000 survival=0.900 plateau=2
[08-22 05:41:40] [B] B1_bridge iter=70 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 05:43:40] [B] B1_bridge iter=72 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 05:45:40] [B] B1_bridge iter=74 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=2
[08-22 05:49:40] [B] B1_bridge iter=76 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 05:51:40] [B] B1_bridge iter=78 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=6
[08-22 05:55:40] [B] B1_bridge iter=80 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 05:57:40] [B] B1_bridge iter=82 score=0.949 success=1.000 dwell=1.000 survival=1.000 plateau=10
[08-22 05:59:41] [B] B1_bridge iter=84 score=0.949 success=1.000 dwell=1.000 survival=1.000 plateau=12
[08-22 06:03:41] [B] B1_bridge iter=86 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=14
[08-22 06:05:41] [B] B1_bridge iter=88 score=0.949 success=1.000 dwell=1.000 survival=1.000 plateau=16
[08-22 06:07:41] [B] B1_bridge iter=90 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=18
[08-22 06:11:41] [B] B1_bridge iter=92 score=0.947 success=1.000 dwell=0.995 survival=1.000 plateau=20
[08-22 06:13:41] [B] B1_bridge iter=94 score=0.947 success=1.000 dwell=0.995 survival=1.000 plateau=22
[08-22 06:15:41] [B] B1_bridge iter=96 score=0.948 success=1.000 dwell=0.995 survival=1.000 plateau=24
[08-22 06:19:42] [B] B1_bridge iter=98 score=0.949 success=1.000 dwell=0.995 survival=1.000 plateau=26
[08-22 06:21:42] [B] B1_bridge iter=100 score=0.949 success=1.000 dwell=0.995 survival=1.000 plateau=0
[08-22 06:25:42] [B] B1_bridge iter=102 score=0.958 success=1.000 dwell=0.995 survival=1.000 plateau=0
[08-22 06:27:42] [B] B1_bridge iter=104 score=0.958 success=1.000 dwell=0.995 survival=1.000 plateau=2
[08-22 06:29:42] [B] B1_bridge iter=106 score=0.958 success=1.000 dwell=0.995 survival=1.000 plateau=0
[08-22 06:33:42] [B] B1_bridge iter=109 score=0.959 success=1.000 dwell=0.995 survival=1.000 plateau=0
[08-22 06:37:42] [B] B1_bridge iter=112 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 06:39:43] [B] B1_bridge iter=113 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 06:43:43] [B] B1_bridge iter=116 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 06:45:43] [B] B1_bridge iter=117 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 06:49:43] [B] B1_bridge iter=120 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=3
[08-22 06:51:43] [B] B1_bridge iter=121 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 06:55:43] [B] B1_bridge iter=125 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 07:01:44] [B] B1_bridge iter=128 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=11
[08-22 07:05:44] [B] B1_bridge iter=132 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=15
[08-22 07:11:44] [B] B1_bridge iter=136 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=19
[08-22 07:15:44] [B] B1_bridge iter=139 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=22
[08-22 07:17:45] [B] B1_bridge iter=140 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=23
[08-22 07:21:45] [B] B1_bridge iter=143 score=0.962 success=1.000 dwell=1.000 survival=1.000 plateau=26
[08-22 07:21:45] [B] B1_bridge qualified and plateaued; requesting graceful stop at iter=143
[08-22 07:22:12] [B] B1_bridge promoted from peak iter=117.0 score=0.9617241231343285 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B1_bridge\bundle_000110
[08-22 07:22:12] [B] B2_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B1_bridge\bundle_000110
[08-22 07:48:13] [B] B2_bridge iter=21 score=0.922 success=1.000 dwell=0.993 survival=0.900 plateau=0
[08-22 07:52:13] [B] B2_bridge iter=23 score=0.921 success=1.000 dwell=0.993 survival=0.900 plateau=2
[08-22 07:54:13] [B] B2_bridge iter=25 score=0.959 success=1.000 dwell=1.000 survival=1.000 plateau=0
