iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_bridge_entry,ep_reward_bridge_entry_once,ep_reward_bridge_stalemate,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
0,147000.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,79.81444204711914,0.6007363340854645,-2898.7357954101562,9.929364177878596e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,20.48043441772461,n/a,n/a,50.14179801940918,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,148000.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,62.001175682067874,0.3534934380352497,-2723.7356181640625,9.788891504285857e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000,20.675334930419922,n/a,n/a,56.336004972457886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,149000.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,38.351417728424074,0.4537795017063618,-2748.89974609375,9.64543002010032e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3000,20.905948638916016,n/a,n/a,62.96345233917236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,150000.0,79.0,854.153441628082,2000.0,0.0,0.0,1.0,0.0,29.5,1115.3504278369924,155.2250410574784,n/a,4.915590315560656,-4.4039348788,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94010535373988,92.24778020382463,750.4590232838261,49.90356117242837,0.0,n/a,0.0,0.0,-33.78173308321804,0.0,246.5,2.5,n/a,44.835161921293654,174.16315499193487,950.9018956319437,31.858290343339327,18.635545214550955,0.0,0.0,0.0,-0.1919514313340187,0.7994546592235565,-0.1787442988716066,0.39601729810237885,0.8312468826770782,0.520095705986023,0.9470016360282898,0.9015877544879913,0.7891250000000001,n/a,n/a,n/a,n/a,n/a,n/a,29.20052104949951,0.3869095991253853,-2647.0447719726562,9.505823838480865e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4000,21.06570053100586,n/a,n/a,69.82393074035645,0.9683706347075886,-33.73014566834996,10.778765617404776,0.0,0.0,0.0,0.0,0.0,0.0,-57.75,0.0,0.0,0.0,0.0,0.0,33.606058676953,0.0,0.0,-10.000000000000163,0.0,0.0
4,151000.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,34.84618573379517,0.3498933652043343,-2718.577482421875,9.366597645566799e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5000,21.225605010986328,n/a,n/a,58.246586322784424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,152000.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,38.74895204925537,0.30476877760887144,-2756.789085449219,9.225697480360395e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6000,21.52640151977539,n/a,n/a,61.61483287811279,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,153000.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,44.509064132690426,0.3159962575733662,-2745.011380859375,9.087351543712429e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7000,21.686229705810547,n/a,n/a,68.4564061164856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,154000.0,81.0,-130.64583081546795,2000.0,0.0,0.0,1.0,0.0,0.0,1129.1967203968507,119.65898024774523,n/a,-8.191331980096146,-0.5189377065999997,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.580517172951904,3.1661532319219474,-53.36115507701419,8.159393335053384,0.0,n/a,0.0,0.0,7.612369720249056,0.0,68.5,2.0,n/a,58.99936388662819,171.0061654217069,917.0427463921583,99.87875976012829,111.90768170391271,0.0,0.0,0.0,-0.44279710948467255,0.9587402641773224,-0.3164971321821213,0.09263428300619125,0.7379931211471558,0.2303699553012848,0.9269523322582245,0.97575443983078,0.813,n/a,n/a,n/a,n/a,n/a,n/a,51.441851402282715,0.36785661745071413,-2710.4259091796876,8.953413243943942e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8000,21.845943450927734,n/a,n/a,76.17940092086792,-5.758061206471894,-35.99682854354986,1.4573598547804116,0.0,0.0,0.0,0.0,0.0,0.0,-47.25,0.0,0.0,0.0,0.0,0.0,1.4546903833073304,0.0,0.0,-10.000000000000163,0.0,0.0
8,155000.0,81.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,54.5547936706543,0.32869077181816103,-2691.1549702148436,8.821901537885424e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9000,22.006389617919922,n/a,n/a,59.13180470466614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,156000.0,81.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,51.39158146667481,0.39385788410902023,-2788.3001904296875,8.690405576999184e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10000,22.166141510009766,n/a,n/a,64.18554663658142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,157000.0,82.0,-424.5704911239305,1005.0,0.0,1.0,0.0,0.0,0.0,1252.9687776129988,24.58833150219285,n/a,-62.79535685098192,-0.11346832773333305,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732699659000894,6.598273293609748,-137.90660698591103,-47.83984640531146,0.0,n/a,0.0,0.0,22.12034634568708,0.0,45.0,1.0,n/a,41.50858757331106,173.53424719716455,1007.4041925690736,145.22537485833908,179.62262514166093,0.0,0.0,0.0,-0.17435786128044128,0.7915168404579163,-0.49667662382125854,-0.26972299814224243,0.7844533920288086,0.5847699642181396,0.8417545557022095,0.952578067779541,0.7661691542288557,n/a,n/a,n/a,n/a,n/a,n/a,51.163715187072754,0.3159852694272995,-2833.9816796875,8.558626350350095e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11000,22.607616424560547,n/a,n/a,65.96305108070374,-9.131795889334914,5.603896669200006,0.186367367844511,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.024999999999915,-100.0,0.0
11,158000.0,83.0,3.494788314204037,2000.0,0.0,0.0,1.0,0.0,0.0,1099.9715220227163,43.56043184397976,n/a,-24.361208980579118,-5.583409989466662,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531641645505344,7.179597250855058,142.4476800650246,31.19909202406008,0.0,n/a,0.0,0.0,1.5597929233473886,0.0,416.0,4.0,n/a,34.94336561907842,175.1970988018905,1091.529938227269,24.741990779190143,14.701990779190098,0.0,0.0,0.0,-0.46807166934013367,0.7910027503967285,-0.42657479643821716,-0.03327770158648491,0.7359994053840637,0.5593412518501282,0.8785871267318726,0.9797583222389221,0.788375,n/a,n/a,n/a,n/a,n/a,n/a,55.09500413513184,0.2490620698928833,-2838.2630053710936,8.428672354057198e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12000,22.76736831665039,n/a,n/a,69.2877345085144,4.485575415840308,-50.11752134940013,1.5480562387911925,0.0,0.0,0.0,0.0,0.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,1.6054930702255548,0.0,0.0,-10.000000000000163,0.0,0.0
12,159000.0,83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,53.267065925598146,0.24868935498595238,-2867.6739458007814,8.301145680889021e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13000,22.92727279663086,n/a,n/a,66.87897300720215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,160000.0,83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,50.24933831787109,0.2626866427958012,-2885.138522949219,8.175479480996728e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14000,23.08749008178711,n/a,n/a,71.36684679985046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,161000.0,84.0,306.51824103404505,2000.0,0.0,0.0,1.0,0.0,0.0,1100.305982031743,78.83584169402737,n/a,-12.68310314756417,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.114031554246365,4.9745591863179826,408.17537628531056,23.82522971822557,0.0,n/a,0.0,0.0,-28.91202001393355,0.0,0.0,0.0,n/a,46.89282793280913,175.90485099700888,998.2216606419171,169.51715135522056,20.152848644779482,0.0,0.0,0.0,-0.3332711160182953,0.8443941473960876,-0.13103243708610535,0.17015786468982697,0.7970683574676514,0.525212824344635,0.982539176940918,0.9680811166763306,0.823625,n/a,n/a,n/a,n/a,n/a,n/a,51.08052429962158,0.2565458636879921,-2901.3860131835936,8.051818369494868e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15000,23.247318267822266,n/a,n/a,64.78865098953247,-4.046184517425749,-39.62536798199987,0.7084403577106816,0.0,0.0,0.0,0.0,0.0,0.0,-49.5,0.0,0.0,0.0,0.0,0.0,2.4872795931589913,0.0,0.0,-10.000000000000163,0.0,0.0
