iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
0,26000.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,34.48261549758911,0.7062539158463478,-3116.2282524414063,9.925729105816572e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,20.48043441772461,n/a,n/a,48.669331550598145,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,27000.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-15.238015358686447,0.26838033863902094,-2402.1051381835937,9.792041844775668e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000,20.675334930419922,n/a,n/a,56.039125204086304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,28000.0,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-9.372786298692226,0.29201136949658396,-2467.8172885742188,9.663485570854391e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3000,20.905948638916016,n/a,n/a,60.32375502586365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,29000.0,15.0,433.46875193833523,2000.0,0.0,0.0,1.0,0.0,0.0,1492.5643492726017,160.35449922983304,n/a,-17.879694414055184,-9.289816835866679,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.22584259226313,25.4396315153839,507.1591924353758,82.78221732926724,0.0,n/a,0.0,0.0,-21.101429522683503,0.0,278.0,0.0,n/a,160.62447651272794,163.01648212202383,545.7415515380167,57.63183447617763,39.07894186750984,0.0,0.0,0.0,-0.2839900180697441,0.7679697573184967,-0.2068147919180774,0.15913556888699532,0.7824098467826843,0.5800102949142456,0.9452578723430634,0.9340395927429199,0.759,n/a,n/a,n/a,n/a,n/a,n/a,-2.9039074927568436,0.26893307057023047,-2548.546145019531,9.522938080408494e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4000,21.06570053100586,n/a,n/a,68.4581995010376,11.12832437101509,-59.07855233609993,2.2395948285309784,0.0,0.0,0.0,-114.75,0.0,0.0,0.0,0.0,0.0,2.9789487750690755,-6.385506799874999,0.0,-10.000000000000163,0.0,0.0
4,30000.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-0.3007013590633869,0.23944437685608863,-2600.4502919921874,9.381170904816827e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5000,21.225605010986328,n/a,n/a,55.130162954330444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,31000.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-9.643175555706025,0.24306012514233588,-2413.890228515625,9.244941236829618e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6000,21.52640151977539,n/a,n/a,62.89212512969971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,32000.0,15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-9.962192094445228,0.266921706110239,-2427.126258300781,9.113215188335743e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7000,21.686229705810547,n/a,n/a,67.90659689903259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,33000.0,17.0,1092.918666830508,2000.0,0.0,0.0,1.0,0.0,1.5,1293.592147303823,127.2417495384669,n/a,-22.105835601235515,-2.073613113533333,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6267419966374,94.67262986479946,1017.2073241339971,96.1732796228047,0.0,n/a,0.0,0.0,-22.414386368918365,0.0,239.0,0.5,n/a,168.67552680238873,156.43243421050582,774.260314092699,15.414802692172012,24.354697307827987,0.0,0.0,0.0,-0.14977659285068512,0.6679656207561493,-0.5604783892631531,0.2744123637676239,0.8300245106220245,0.6781132221221924,0.767175704240799,0.9072477221488953,0.724,n/a,n/a,n/a,n/a,n/a,n/a,-15.90000136089325,0.24470317715406417,-2432.5840034179687,8.980766284366837e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8000,21.845943450927734,n/a,n/a,78.50360631942749,14.990590942607056,-48.93809621174994,5.881983038737905,0.0,0.0,0.0,-134.25,0.0,0.0,0.0,0.0,0.0,10.148048526340045,0.0,0.0,-10.000000000000163,0.0,0.0
8,34000.0,18.0,-225.5534824222095,32.0,0.0,1.0,0.0,0.0,0.0,633.6872593069678,554.5635561413745,n/a,-62.85496078264119,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.600000000000012,3.045475022979428,0.0,n/a,0.0,0.0,5.486713309248949,0.0,0.0,0.0,n/a,167.42538493972577,179.2690653052226,695.0226209401189,151.04643833957726,179.68256166042272,0.0,0.0,0.0,-0.6948180198669434,1.0,-0.23176442086696625,-1.0,0.6466335654258728,0.0,0.7991655468940735,0.0,0.8203125,n/a,n/a,n/a,n/a,n/a,n/a,-13.263270009040832,0.21967138376832007,-2581.8590859375,8.845212778396672e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9000,22.006389617919922,n/a,n/a,56.760154724121094,1.9859495858033342,0.5433404423999996,0.0,0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16000000000000006,-100.0,0.0
9,35000.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-22.07628720664978,0.24164629176259042,-2428.09834375,8.713146029549534e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10000,22.166141510009766,n/a,n/a,63.15753722190857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
