[08-24 06:48:09] [F2-guard] start threshold=0.82 min=80 plateau=25 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\F2_transferb\bundle_000090
[08-24 06:48:09] [F2-guard] F2_guard launch (peak-bundle transfer, cap=180, min=80) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\F2_transferb\bundle_000090
[08-24 07:42:13] [F2-guard] F2_guard iter=39 score=0.887 transfer=1.000 threat=0.997 incoming=0.724 survival=1.000 offense=0.764 plateau=0
[08-24 07:44:13] [F2-guard] F2_guard iter=40 score=0.883 transfer=1.000 threat=0.997 incoming=0.800 survival=0.900 offense=0.664 plateau=1
[08-24 07:48:13] [F2-guard] F2_guard iter=43 score=0.877 transfer=1.000 threat=0.998 incoming=0.800 survival=0.900 offense=0.564 plateau=4
[08-24 07:50:14] [F2-guard] F2_guard iter=44 score=0.903 transfer=1.000 threat=0.998 incoming=0.900 survival=0.900 offense=0.599 plateau=0
[08-24 07:54:14] [F2-guard] F2_guard iter=48 score=0.897 transfer=1.000 threat=0.998 incoming=0.900 survival=0.900 offense=0.499 plateau=4
[08-24 07:58:14] [F2-guard] F2_guard iter=51 score=0.893 transfer=1.000 threat=0.998 incoming=0.900 survival=0.900 offense=0.451 plateau=7
[08-24 08:00:14] [F2-guard] F2_guard iter=52 score=0.887 transfer=1.000 threat=0.997 incoming=0.900 survival=0.900 offense=0.351 plateau=8
[08-24 08:04:14] [F2-guard] F2_guard iter=55 score=0.872 transfer=1.000 threat=0.997 incoming=0.834 survival=0.900 offense=0.351 plateau=11
[08-24 08:06:15] [F2-guard] F2_guard iter=56 score=0.871 transfer=1.000 threat=0.997 incoming=0.834 survival=0.900 offense=0.333 plateau=12
[08-24 08:10:15] [F2-guard] F2_guard iter=59 score=0.868 transfer=1.000 threat=0.997 incoming=0.834 survival=0.900 offense=0.283 plateau=15
[08-24 08:12:15] [F2-guard] F2_guard iter=60 score=0.889 transfer=1.000 threat=0.997 incoming=0.834 survival=1.000 offense=0.362 plateau=16
[08-24 08:16:15] [F2-guard] F2_guard iter=64 score=0.895 transfer=1.000 threat=0.997 incoming=0.834 survival=1.000 offense=0.462 plateau=20
[08-24 08:20:16] [F2-guard] F2_guard iter=67 score=0.915 transfer=1.000 threat=0.998 incoming=0.916 survival=1.000 offense=0.462 plateau=0
[08-24 08:22:16] [F2-guard] F2_guard iter=68 score=0.922 transfer=1.000 threat=0.997 incoming=0.916 survival=1.000 offense=0.562 plateau=0
[08-24 08:26:16] [F2-guard] F2_guard iter=71 score=0.924 transfer=1.000 threat=0.997 incoming=0.916 survival=1.000 offense=0.591 plateau=0
[08-24 08:28:16] [F2-guard] F2_guard iter=72 score=0.931 transfer=1.000 threat=0.998 incoming=0.916 survival=1.000 offense=0.691 plateau=0
[08-24 08:32:16] [F2-guard] F2_guard iter=75 score=0.947 transfer=1.000 threat=0.998 incoming=0.982 survival=1.000 offense=0.691 plateau=0
[08-24 08:34:16] [F2-guard] F2_guard iter=76 score=0.951 transfer=1.000 threat=0.998 incoming=0.982 survival=1.000 offense=0.757 plateau=0
[08-24 08:38:17] [F2-guard] F2_guard iter=79 score=0.948 transfer=1.000 threat=0.998 incoming=0.982 survival=1.000 offense=0.706 plateau=3
[08-24 08:40:17] [F2-guard] F2_guard iter=81 score=0.902 transfer=1.000 threat=0.996 incoming=0.882 survival=0.900 offense=0.628 plateau=1
[08-24 08:44:17] [F2-guard] F2_guard iter=84 score=0.899 transfer=1.000 threat=0.996 incoming=0.882 survival=0.900 offense=0.584 plateau=4
[08-24 08:46:17] [F2-guard] F2_guard iter=85 score=0.909 transfer=1.000 threat=0.996 incoming=0.900 survival=0.900 offense=0.684 plateau=5
[08-24 08:50:18] [F2-guard] F2_guard iter=88 score=0.909 transfer=1.000 threat=0.996 incoming=0.898 survival=0.900 offense=0.684 plateau=8
[08-24 08:52:18] [F2-guard] F2_guard iter=89 score=0.880 transfer=1.000 threat=0.996 incoming=0.798 survival=0.900 offense=0.622 plateau=9
[08-24 08:56:18] [F2-guard] F2_guard iter=92 score=0.880 transfer=1.000 threat=0.996 incoming=0.798 survival=0.900 offense=0.622 plateau=12
[08-24 08:58:18] [F2-guard] F2_guard iter=93 score=0.852 transfer=1.000 threat=0.996 incoming=0.698 survival=0.900 offense=0.565 plateau=13
[08-24 09:02:18] [F2-guard] F2_guard iter=96 score=0.849 transfer=1.000 threat=0.996 incoming=0.698 survival=0.900 offense=0.511 plateau=16
[08-24 09:04:18] [F2-guard] F2_guard iter=97 score=0.848 transfer=1.000 threat=0.995 incoming=0.698 survival=0.900 offense=0.511 plateau=17
[08-24 09:08:19] [F2-guard] F2_guard iter=100 score=0.849 transfer=1.000 threat=0.996 incoming=0.698 survival=0.900 offense=0.511 plateau=20
[08-24 09:10:19] [F2-guard] F2_guard iter=101 score=0.895 transfer=1.000 threat=0.996 incoming=0.798 survival=1.000 offense=0.611 plateau=21
[08-24 09:14:19] [F2-guard] F2_guard iter=104 score=0.887 transfer=1.000 threat=0.997 incoming=0.784 survival=0.950 offense=0.656 plateau=24
[08-24 09:20:20] [F2-guard] F2_guard iter=108 score=0.887 transfer=1.000 threat=0.996 incoming=0.784 survival=0.950 offense=0.656 plateau=28
[08-24 09:28:20] [F2-guard] F2_guard iter=112 score=0.875 transfer=1.000 threat=0.996 incoming=0.758 survival=0.950 offense=0.556 plateau=32
[08-24 09:34:21] [F2-guard] F2_guard iter=116 score=0.890 transfer=1.000 threat=0.996 incoming=0.794 survival=0.950 offense=0.656 plateau=36
[08-24 09:40:21] [F2-guard] F2_guard iter=120 score=0.887 transfer=1.000 threat=0.996 incoming=0.783 survival=0.950 offense=0.656 plateau=40
[08-24 09:46:22] [F2-guard] F2_guard iter=124 score=0.906 transfer=1.000 threat=0.996 incoming=0.866 survival=0.950 offense=0.647 plateau=44
[08-24 09:54:22] [F2-guard] F2_guard iter=128 score=0.904 transfer=1.000 threat=0.996 incoming=0.838 survival=0.950 offense=0.716 plateau=48
[08-24 09:58:23] [F2-guard] F2_guard iter=131 score=0.910 transfer=1.000 threat=0.995 incoming=0.838 survival=0.950 offense=0.816 plateau=51
[08-24 10:00:23] [F2-guard] F2_guard iter=132 score=0.903 transfer=1.000 threat=0.995 incoming=0.838 survival=0.950 offense=0.716 plateau=52
[08-24 10:02:23] [F2-guard] F2_guard iter=134 score=0.904 transfer=1.000 threat=0.995 incoming=0.838 survival=0.950 offense=0.716 plateau=54
[08-24 10:06:23] [F2-guard] F2_guard iter=136 score=0.889 transfer=1.000 threat=0.995 incoming=0.752 survival=1.000 offense=0.690 plateau=56
[08-24 10:08:23] [F2-guard] F2_guard iter=138 score=0.884 transfer=1.000 threat=0.995 incoming=0.752 survival=1.000 offense=0.590 plateau=58
[08-24 10:12:24] [F2-guard] F2_guard iter=140 score=0.895 transfer=1.000 threat=0.995 incoming=0.780 survival=1.000 offense=0.674 plateau=60
[08-24 10:14:24] [F2-guard] F2_guard iter=142 score=0.905 transfer=1.000 threat=0.995 incoming=0.843 survival=1.000 offense=0.574 plateau=62
[08-24 10:18:24] [F2-guard] F2_guard iter=144 score=0.901 transfer=1.000 threat=0.995 incoming=0.855 survival=1.000 offense=0.474 plateau=64
